id,first_name,last_name,email,mobile_number,gender,dob,t_shirt_size,name_bib,blood_group,emergency_contact_name,emergency_contact_number,pincode,state,city,time_of_registration,medical_issue,category,address,runner_club,age,distance,order_number,whatsapp_number,company,coupon_code,payment_id,order_id,payment_status,status,payment_order_id,base_fees,platform_charges,platform_charges_gst,registration_gst,amount,payment_gway_charges,payment_gway_charges_gst,customer_pays,novarace_revenue,pg_charges,organizer_receives,event_id
1,Siddharth,Lad,rajanaarnav@example.com,2591868124,Male,06-04-1987,M,Yasti,A+,Ojasvi Loyal,5881207477,178224,Himachal Pradesh,Mirzapur,21-01-2026 23:05,None,Senior,"H.No. 03, Misra Chowk Ambala 544457",None,39,10K,5b09033b-c85d-4a7b-bd1e-b0b828991b0c,5246806910,Randhawa and Sons,NONE,1f156f74-bba8-4cde-b67c-ae7777678eb9,48a76e1c-24f7-4abf-84b7-c5f39e22da31,PENDING,ACTIVE,1f17ff03-f32a-4232-8dbe-e45227811cd1,1333.28,16.92,6.4,91.22,1962.37,9.43,7.09,2252.16,278.28,19.64,422.19,1
2,Tanmayi,Srinivasan,shankerlipika@example.org,9501573692,Female,05-03-1987,S,Aradhana,B+,Adweta Narula,6179810814,950015,Rajasthan,Gaya,03-03-2026 07:55,BP,VIP,"H.No. 08, Kunda Circle Aizawl-921882",Fast Runners,39,Half,88abe1df-e299-47da-8e18-458be1db119a,3471173884,Nadkarni-Mand,DISC10,98f31242-fdee-4cb3-b964-1570e7ba51ee,92c975c8-7c66-4aa0-a76c-c7eb1f897387,PENDING,ACTIVE,ae8f34a4-8d3b-41d6-8b15-8a7ebdb0a972,810.29,10.23,6.04,13.16,689.3,36.35,2.36,1403.96,424.18,95.93,1499.56,1
3,Chaaya,Doshi,rajtriya@example.com,4362852486,Female,06-09-1990,XL,Jagvi,AB+,Bahadurjit Swamy,4411079245,417515,Himachal Pradesh,Siwan,21-02-2026 04:14,Diabetes,VIP,"99/328, Chad Street Farrukhabad 208555",None,35,Half,270baf02-8344-48b0-8275-5db55534ae19,6089156927,Patla-Sidhu,DISC10,1c7f5911-e3b6-40ec-a6dd-941d8554382e,5957593a-0c6e-4673-90a9-7ad7d4454957,SUCCESS,ACTIVE,bde85a93-49bb-46b9-b25a-b8cff44439c5,567.15,23,6.34,92.99,983.27,15.22,1.87,1305.68,108.94,27.68,1466.44,1
4,Ishita,Amble,watikaviswanathan@example.org,2568586928,Female,28-06-1995,S,Lopa,AB+,Sanaya Kumer,9575728794,756051,Tripura,Kavali,22-03-2026 20:13,Asthma,Senior,32/09 Ravel Ganj Katihar 241943,Marathoners,30,5K,14ae0f52-2714-4437-9b36-a51c6decff9a,20981806,"Boase, More and Lala",NONE,eba5a9f7-4895-431f-b934-187369cc6a01,22f0d7ce-1a67-406e-8cfd-39d32b758a61,SUCCESS,INACTIVE,c25093eb-c742-46f6-9c01-34ac47460f12,816.92,33.07,5.97,33.97,1649.08,36.14,5.84,805,443.07,18.81,830.03,1
5,Nikita,Venkatesh,anmol66@example.com,288558797,Female,26-08-1972,XL,Jack,B+,Arjun Divan,5277307005,973728,Jharkhand,Dehri,05-02-2026 13:52,Asthma,VIP,"17/116, Batra Ganj Aizawl-307077",City Club,53,10K,01f3ed48-a2e1-48d8-a2f4-6bf4eac0f424,8147713331,Dugar PLC,RUN20,a9e077aa-c2e5-44ae-9d64-e0a4ceee1566,85304b53-08f3-44dc-83b5-f8d632b36c6c,PENDING,ACTIVE,c192a85d-ef48-493a-b8ab-af55112d8708,902.27,35.31,5.87,62.01,937.33,28.1,7,1509.2,387.42,94.71,555.15,1
6,Rachana,Dara,hsur@example.net,3557199845,Female,03-12-1990,L,Chanchal,B+,Hardik Chaudhry,5481083613,946266,Andhra Pradesh,Chandigarh,26-02-2026 12:41,BP,VIP,"62/620, Karan Chandrapur-706537",Marathoners,35,Full,24e0f95d-8012-4675-8cd7-9aa726471cb5,209160750,Mani-Khalsa,NONE,9c23e09c-049c-46f5-a727-89835bc6556d,8d290399-991b-4a36-b494-1a9e37d47228,FAILED,ACTIVE,13f401d3-d29f-439d-bdfc-fea74ad563d6,939.82,27.23,1.52,20.25,1803.7,21.46,9.02,1680.81,345.55,59.48,672.71,1
7,Omaja,Hora,mmangat@example.org,4589301954,Female,20-12-1996,M,Megha,O+,Fariq Deo,6660718558,787387,Arunachal Pradesh,Nadiad,15-04-2026 13:11,None,Senior,"H.No. 69, Edwin Circle, Jamshedpur-223327",City Club,29,Half,eb622053-05a8-4a63-beed-f2b9c7dbc0c6,2583696619,"Narain, Pai and Mittal",NONE,b34c0cfc-83c4-4c46-b038-bb0075902216,c4bf9e36-fccb-4714-b3f1-30a927b5603b,SUCCESS,ACTIVE,c6fea92e-2037-4cf1-ac70-346fac6c515b,600.83,32.33,8.7,61.26,834.51,38.92,5.61,1457.01,124.02,23.96,1096.6,1
8,Vaishnavi,Patla,ydevan@example.org,9382110730,Female,05-04-1966,XL,Pooja,AB+,Rachita Bumb,3405409216,602588,Andhra Pradesh,Surendranagar Dudhrej,06-04-2026 06:41,BP,VIP,"72, Sandhu Street, Siwan-664875",Fast Runners,60,5K,1d8cbb15-bf5b-4401-a41e-c2d25cedd7ca,1014396595,Bali Ltd,DISC10,1163a67c-1dbc-4694-84c3-e3bc3cbedb85,1c0d0d6d-ec4a-4d3b-bacb-21a0e0319442,PENDING,ACTIVE,a34342dc-09dd-4b27-aac4-9849f98bd845,857.48,43.42,2.41,62.74,562.08,43.57,8.26,1082.43,380.07,91.85,1031.91,1
9,Yashica,Kadakia,rajagopalsiya@example.org,1359978094,Female,16-03-1985,XL,Raghav,O-,Yug Wable,6313768942,237158,Assam,Adoni,04-03-2026 22:32,Diabetes,General,052 Naidu Path Serampore 159575,None,41,Half,0013c008-5429-441c-a340-34fd9dab0642,1066017944,"Venkatesh, Bhalla and Sagar",NONE,ac0a096c-5964-42c3-805a-5f2d23086971,a47f4f46-05cd-4b21-9acb-1f48ed4bc039,FAILED,INACTIVE,2e9df7c8-7a24-458f-95f8-dc490440577d,1352.47,18.87,6.1,21.52,948.21,36.6,1.87,870.18,250.87,85.42,1456.87,1
10,George,Badal,chawlavedika@example.org,6269254898,Male,15-07-1992,M,Madhavi,O-,Ranbir Gulati,3494130743,463936,Goa,Naihati,12-03-2026 04:38,Asthma,VIP,"90/915 Dash Zila, Uluberia-515203",Fast Runners,33,5K,56c808f4-4a0a-426d-af95-f72879c91321,3821762818,"Shetty, Bhagat and Sankar",NONE,7a18ea1f-35b2-4e95-a1e3-0b706c7841d2,315ae67b-67b4-41cf-9aab-3e703b642c4b,SUCCESS,INACTIVE,9e5377d9-3186-4616-a01d-caef6025ce5d,1019.82,30.95,3.92,90.44,673.51,12.88,8.6,1585.37,292.77,22.29,1338.54,1
