client_id,mobile_no,teamrank,team,bib,name,distance,gender,chiptime,starttime,split1distance,split1,split2distance,split2,split3distance,split3,split4distance,split4
1,9000000001,241,Team Endurance,1,Kavitha Kumar,Half Marathon,F,02:57:18,06:00:00,5,00:41:33,10,01:22:27,15,02:06:50,21.1,02:57:18
2,9000000002,41,Team Endurance,2,Vignesh Iyengar,Half Marathon,M,01:45:12,06:00:00,5,00:23:40,10,00:47:34,15,01:11:49,21.1,01:45:12
3,9000000003,7,Team Sprint,3,Malathi Arumugam,5K,M,00:20:51,06:00:00,1.25,00:04:57,2.5,00:10:58,3.75,00:15:48,5,00:20:51
4,9000000004,287,Team Endurance,4,Kavitha Sundaram,Half Marathon,M,03:11:14,06:00:00,5,00:47:49,10,01:27:02,15,02:10:09,21.1,03:11:14
5,9000000005,104,Team Endurance,5,Meena Pandian,Half Marathon,M,02:07:33,06:00:00,5,00:29:30,10,01:00:27,15,01:28:54,21.1,02:07:33
6,9000000006,91,Team Endurance,6,Prabu Pandian,Half Marathon,M,02:03:26,06:00:00,5,00:31:55,10,00:57:06,15,01:29:15,21.1,02:03:26
7,9000000007,124,Team Stride,7,Suresh Selvan,10K,F,01:00:14,06:00:00,2.5,00:13:39,5,00:28:32,7.5,00:45:08,10,01:00:14
8,9000000008,46,Team Sprint,8,Suganya Pandian,5K,M,00:24:45,06:00:00,1.25,00:06:18,2.5,00:12:39,3.75,00:18:02,5,00:24:45
9,9000000009,285,Team Endurance,9,Saravanan Pillai,Half Marathon,F,03:10:33,06:00:00,5,00:48:06,10,01:34:47,15,02:10:23,21.1,03:10:33
10,9000000010,35,Team Sprint,10,Revathi Kumar,5K,F,00:23:29,06:00:00,1.25,00:05:30,2.5,00:11:49,3.75,00:17:29,5,00:23:29
11,9000000011,282,Team Stride,11,Kowsalya Kumar,10K,F,01:22:13,06:00:00,2.5,00:21:01,5,00:41:41,7.5,01:03:01,10,01:22:13
12,9000000012,29,Team Sprint,12,Prabu Murugan,5K,M,00:22:58,06:00:00,1.25,00:05:34,2.5,00:12:02,3.75,00:16:56,5,00:22:58
13,9000000013,219,Team Sprint,13,Suganya Pillai,5K,F,00:40:09,06:00:00,1.25,00:10:15,2.5,00:19:54,3.75,00:30:16,5,00:40:09
14,9000000014,154,Team Endurance,14,Bala Devi,Half Marathon,M,02:27:36,06:00:00,5,00:32:49,10,01:13:30,15,01:41:06,21.1,02:27:36
15,9000000015,14,Team Stride,15,Manoj Annamalai,10K,M,00:47:10,06:00:00,2.5,00:12:32,5,00:23:56,7.5,00:34:42,10,00:47:10
16,9000000016,10,Team Sprint,16,Vijay Pandian,5K,M,00:21:01,06:00:00,1.25,00:04:43,2.5,00:10:10,3.75,00:15:49,5,00:21:01
17,9000000017,51,Team Stride,17,Prabu Kumar,10K,M,00:51:23,06:00:00,2.5,00:11:47,5,00:25:24,7.5,00:39:07,10,00:51:23
18,9000000018,77,Team Endurance,18,Kumar Pillai,Half Marathon,F,01:59:51,06:00:00,5,00:28:37,10,00:54:07,15,01:23:13,21.1,01:59:51
19,9000000019,80,Team Endurance,19,Siva Raj,Half Marathon,M,02:01:45,06:00:00,5,00:28:09,10,01:00:01,15,01:23:13,21.1,02:01:45
20,9000000020,185,Team Endurance,20,Padma Krishnan,Half Marathon,M,02:38:59,06:00:00,5,00:36:27,10,01:13:38,15,01:54:23,21.1,02:38:59
21,9000000021,312,Team Stride,21,Rajan Natarajan,10K,F,01:26:05,06:00:00,2.5,00:21:59,5,00:44:36,7.5,01:03:00,10,01:26:05
22,9000000022,10,Team Endurance,22,Suresh Pandian,Half Marathon,F,01:33:37,06:00:00,5,00:21:01,10,00:43:10,15,01:04:21,21.1,01:33:37
23,9000000023,208,Team Sprint,23,Vijay Sharma,5K,M,00:39:09,06:00:00,1.25,00:09:14,2.5,00:18:44,3.75,00:28:19,5,00:39:09
24,9000000024,109,Team Stride,24,Geetha Raj,10K,M,00:58:34,06:00:00,2.5,00:15:40,5,00:29:37,7.5,00:45:03,10,00:58:34
25,9000000025,274,Team Endurance,25,Anitha Sharma,Half Marathon,M,03:07:45,06:00:00,5,00:48:13,10,01:28:36,15,02:12:04,21.1,03:07:45
26,9000000026,332,Team Stride,26,Rekha Krishnan,10K,F,01:29:21,06:00:00,2.5,00:21:17,5,00:44:09,7.5,01:05:47,10,01:29:21
27,9000000027,269,Team Endurance,27,Malathi Annamalai,Half Marathon,M,03:05:45,06:00:00,5,00:44:52,10,01:27:39,15,02:11:51,21.1,03:05:45
28,9000000028,281,Team Stride,28,Bala Pandian,10K,M,01:22:12,06:00:00,2.5,00:22:28,5,00:42:15,7.5,01:02:09,10,01:22:12
29,9000000029,218,Team Stride,29,Malathi Kumar,10K,M,01:13:38,06:00:00,2.5,00:16:18,5,00:35:37,7.5,00:55:59,10,01:13:38
30,9000000030,120,Team Stride,30,Ramesh Iyer,10K,M,01:00:02,06:00:00,2.5,00:16:18,5,00:30:19,7.5,00:43:17,10,01:00:02
31,9000000031,235,Team Stride,31,Kavitha Natarajan,10K,F,01:15:39,06:00:00,2.5,00:20:06,5,00:39:17,7.5,00:57:05,10,01:15:39
32,9000000032,304,Team Stride,32,Padma Sharma,10K,M,01:25:13,06:00:00,2.5,00:22:38,5,00:40:56,7.5,01:04:00,10,01:25:13
33,9000000033,161,Team Stride,33,Meena Natarajan,10K,F,01:03:59,06:00:00,2.5,00:15:46,5,00:31:08,7.5,00:49:53,10,01:03:59
34,9000000034,5,Team Stride,34,Revathi Annamalai,10K,M,00:45:26,06:00:00,2.5,00:11:11,5,00:23:34,7.5,00:35:21,10,00:45:26
35,9000000035,283,Team Sprint,35,Lakshmi Reddy,5K,F,00:45:54,06:00:00,1.25,00:11:23,2.5,00:22:41,3.75,00:33:55,5,00:45:54
36,9000000036,88,Team Stride,36,Sangeetha Sharma,10K,F,00:55:53,06:00:00,2.5,00:12:38,5,00:26:48,7.5,00:41:36,10,00:55:53
37,9000000037,222,Team Stride,37,Geetha Pillai,10K,M,01:13:51,06:00:00,2.5,00:18:26,5,00:37:38,7.5,00:54:56,10,01:13:51
38,9000000038,189,Team Stride,38,Suresh Annamalai,10K,F,01:08:13,06:00:00,2.5,00:18:07,5,00:32:12,7.5,00:49:28,10,01:08:13
39,9000000039,108,Team Endurance,39,Ganesh Natarajan,Half Marathon,F,02:07:56,06:00:00,5,00:29:26,10,00:58:18,15,01:31:56,21.1,02:07:56
40,9000000040,55,Team Endurance,40,Malathi Sundaram,Half Marathon,M,01:51:13,06:00:00,5,00:28:18,10,00:54:38,15,01:15:38,21.1,01:51:13
41,9000000041,66,Team Sprint,41,Revathi Rajan,5K,M,00:27:20,06:00:00,1.25,00:07:26,2.5,00:13:36,3.75,00:19:46,5,00:27:20
42,9000000042,285,Team Sprint,42,Priya Sharma,5K,M,00:46:03,06:00:00,1.25,00:11:33,2.5,00:23:21,3.75,00:34:32,5,00:46:03
43,9000000043,188,Team Stride,43,Manoj Krishnan,10K,M,01:07:58,06:00:00,2.5,00:16:45,5,00:32:09,7.5,00:50:01,10,01:07:58
44,9000000044,36,Team Endurance,44,Harish Sundaram,Half Marathon,F,01:43:57,06:00:00,5,00:23:24,10,00:48:16,15,01:15:15,21.1,01:43:57
45,9000000045,31,Team Sprint,45,Sangeetha Ramasamy,5K,M,00:23:09,06:00:00,1.25,00:05:45,2.5,00:10:55,3.75,00:17:32,5,00:23:09
46,9000000046,203,Team Stride,46,Lakshmi Reddy,10K,F,01:10:56,06:00:00,2.5,00:19:00,5,00:36:21,7.5,00:52:23,10,01:10:56
